day,week,average,maxTemperature, minTemperature,weather,windDirection,windSpeed
2017-01-01,星期日,11.0,17,5,多云,西南风,3级
2017-01-02,星期一,11.0,17,5,多云,西南风,2级
2017-01-03,星期二,10.0,15,5,小雨,北风,2级
2017-01-04,星期三,9.0,14,4,小雨,西南风,1级
2017-01-05,星期四,10.0,15,5,多云,西风,2级
2017-01-06,星期五,11.0,16,6,多云,西风,2级
2017-01-07,星期六,9.0,16,2,晴,西南风,2级
2017-01-08,星期日,10.0,17,3,晴,西南风,2级
2017-01-09,星期一,10.0,18,2,晴,西南风,2级
2017-01-10,星期二,11.5,18,5,多云,西风,1级
2017-01-11,星期三,11.0,16,6,小雨,南风,2级
2017-01-12,星期四,11.0,17,5,多云,西风,2级
2017-01-13,星期五,10.5,17,4,多云,西风,2级
2017-01-14,星期六,11.0,18,4,晴,西南风,2级
2017-01-15,星期日,10.5,18,3,晴,西南风,2级
2017-01-16,星期一,11.0,18,4,晴,西南风,3级
2017-01-17,星期二,11.0,18,4,晴,西南风,3级
2017-01-18,星期三,11.0,18,4,晴,西南风,3级
2017-01-19,星期四,11.5,19,4,晴,西风,1级
2017-01-20,星期五,11.5,19,4,晴,西南风,3级
2017-01-21,星期六,10.5,18,3,多云,西南风,2级
2017-01-22,星期日,10.5,16,5,多云,西南风,3级
2017-01-23,星期一,12.0,19,5,晴,西南风,2级
2017-01-24,星期二,12.0,19,5,多云,西南风,2级
2017-01-25,星期三,12.0,19,5,多云,西南风,2级
2017-01-26,星期四,12.5,19,6,晴,南风,3级
2017-01-27,星期五,12.5,19,6,多云,西南风,2级
2017-01-28,星期六,11.5,17,6,晴,西南风,3级
2017-01-29,星期日,12.5,19,6,晴,西南风,1级
2017-01-30,星期一,11.5,19,4,晴,西南风,3级
2017-01-31,星期二,11.0,16,6,多云,西南风,1级
2017-02-01,星期三,11.5,18,5,晴,西南风,2级
2017-02-02,星期四,12.0,18,6,多云,西南风,3级
2017-02-03,星期五,9.5,17,2,多云,西南风,1级
2017-02-04,星期六,11.5,20,3,晴,西风,2级
2017-02-05,星期日,12.5,22,3,晴,西南风,3级
2017-02-06,星期一,14.0,22,6,晴,西南风,3级
2017-02-07,星期二,14.5,23,6,晴,西南风,3级
2017-02-08,星期三,10.5,17,4,晴,东风,2级
2017-02-09,星期四,11.0,16,6,多云,西南风,2级
2017-02-10,星期五,12.0,18,6,多云,东风,2级
2017-02-11,星期六,7.5,11,4,小雨,东风,3级
2017-02-12,星期日,10.0,15,5,阴,西南风,2级
2017-02-13,星期一,11.5,18,5,多云,南风,2级
2017-02-14,星期二,12.5,18,7,多云,南风,2级
2017-02-15,星期三,11.0,16,6,阵雨,南风,3级
2017-02-16,星期四,11.5,18,5,晴,西南风,3级
2017-02-17,星期五,13.0,21,5,晴,西南风,3级
2017-02-18,星期六,12.0,20,4,晴,南风,2级
2017-02-19,星期日,13.0,22,4,晴,西南风,2级
2017-02-20,星期一,15.0,22,8,晴,西南风,2级
2017-02-21,星期二,14.5,21,8,多云,西南风,2级
2017-02-22,星期三,15.0,22,8,晴,西南风,2级
2017-02-23,星期四,14.0,21,7,多云,西南风,2级
2017-02-24,星期五,12.0,18,6,小雨,东风,2级
2017-02-25,星期六,7.5,11,4,小雨,东风,3级
2017-02-26,星期日,6.0,9,3,小雨,东南风,2级
2017-02-27,星期一,8.0,11,5,小雨,南风,2级
2017-02-28,星期二,12.0,18,6,晴,南风,2级
2017-03-01,星期三,7.0,9,5,小雨,东风,3级
2017-03-02,星期四,9.5,14,5,阴,西南风,3级
2017-03-03,星期五,13.5,20,7,晴,西南风,4级
2017-03-06,星期一,13.5,20,7,多云,西南风,2级
2017-03-07,星期二,14.0,21,7,晴,西南风,2级
2017-03-08,星期三,12.5,18,7,多云,西南风,3级
2017-03-09,星期四,12.5,17,8,阵雨,西南风,2级
2017-03-10,星期五,13.0,20,6,晴,西南风,4级
2017-03-11,星期六,14.5,21,8,晴,西南风,3级
2017-03-12,星期日,13.0,17,9,阵雨,南风,2级
2017-03-13,星期一,15.0,21,9,晴,西风,4级
2017-03-14,星期二,13.0,22,4,晴,西南风,3级
2017-03-15,星期三,15.0,23,7,晴,西南风,3级
2017-03-16,星期四,16.0,24,8,晴,西南风,2级
2017-03-17,星期五,15.5,23,8,多云,西南风,2级
2017-03-18,星期六,14.0,20,8,阵雨,西南风,2级
2017-03-19,星期日,14.5,20,9,阵雨,西风,4级
2017-03-20,星期一,15.0,22,8,多云,西南风,2级
2017-03-21,星期二,13.5,19,8,阵雨,西南风,2级
2017-03-22,星期三,14.5,22,7,晴,西南风,3级
2017-03-23,星期四,16.5,25,8,晴,西南风,5级
2017-03-24,星期五,17.5,26,9,晴,南风,5级
2017-03-25,星期六,13.0,18,8,多云,东北风,4级
2017-03-26,星期日,11.0,16,6,小雨,西风,2级
2017-03-27,星期一,12.5,17,8,小到中雨,西南风,2级
2017-03-28,星期二,15.5,21,10,多云,西南风,4级
2017-03-29,星期三,15.5,21,10,阵雨,西北风,7级
2017-03-30,星期四,15.0,20,10,阵雨,东南风,2级
2017-03-31,星期五,11.5,15,8,小到中雨,南风,3级
2017-04-01,星期六,12.0,17,7,阵雨,东风,2级
2017-04-02,星期日,12.5,16,9,小雨,南风,2级
2017-04-03,星期一,15.5,21,10,阵雨,西南风,4级
2017-04-04,星期二,16.5,22,11,阵雨,西南风,5级
2017-04-05,星期三,17.0,23,11,晴,西南风,5级
2017-04-06,星期四,17.5,25,10,晴,西风,5级
2017-04-07,星期五,18.5,25,12,晴,西南风,4级
2017-04-08,星期六,19.5,26,13,晴,西风,6级
2017-04-09,星期日,22.0,27,17,晴,西南风,6级
2017-04-10,星期一,22.0,27,17,晴,西风,6级
2017-04-11,星期二,20.5,27,14,晴,西南风,4级
2017-04-12,星期三,17.5,25,10,晴,东风,4级
2017-04-13,星期四,17.5,23,12,多云,南风,4级
2017-04-14,星期五,18.5,24,13,多云,西风,7级
2017-04-15,星期六,19.5,25,14,多云,西南风,5级
2017-04-16,星期日,18.5,23,14,多云,南风,2级
2017-04-17,星期一,14.0,17,11,中到大雨,东北风,3级
2017-04-18,星期二,14.5,19,10,小雨,西风,3级
2017-04-19,星期三,17.0,23,11,晴,西南风,4级
2017-04-20,星期四,17.5,23,12,多云,西风,4级
2017-04-21,星期五,12.0,15,9,中雨,东风,3级
2017-04-22,星期六,14.0,17,11,小雨,南风,2级
2017-04-23,星期日,14.5,17,12,中雨,西南风,3级
2017-04-24,星期一,15.5,19,12,小雨,西南风,3级
2017-04-25,星期二,17.5,22,13,阵雨,西风,2级
2017-04-26,星期三,17.0,22,12,阵雨,东风,2级
2017-04-27,星期四,15.0,18,12,小雨,东风,3级
2017-04-28,星期五,17.0,22,12,阵雨,西风,3级
2017-04-29,星期六,18.0,23,13,晴,西南风,4级
2017-04-30,星期日,19.0,25,13,晴,西南风,4级
2017-05-01,星期一,19.0,26,12,晴,西南风,5级
2017-05-02,星期二,19.5,26,13,晴,西南风,4级
2017-05-03,星期三,20.0,26,14,晴,西南风,5级
2017-05-04,星期四,19.0,25,13,晴,东南风,3级
2017-05-05,星期五,19.5,25,14,晴,西南风,4级
2017-05-06,星期六,18.5,24,13,多云,西南风,4级
2017-05-07,星期日,18.5,24,13,多云,西南风,4级
2017-05-08,星期一,18.5,25,12,晴,西南风,2级
2017-05-09,星期二,20.0,27,13,多云,南风,4级
2017-05-10,星期三,20.0,26,14,多云,西南风,6级
2017-05-11,星期四,20.0,26,14,阵雨,西风,4级
2017-05-12,星期五,19.0,25,13,阴,南风,2级
2017-05-13,星期六,19.5,26,13,多云,西南风,4级
2017-05-14,星期日,18.5,24,13,阵雨,东北风,5级
2017-05-15,星期一,16.5,21,12,小雨,东北风,4级
2017-05-16,星期二,15.5,19,12,阵雨,北风,3级
2017-05-17,星期三,16.5,21,12,阵雨,西风,1级
2017-05-18,星期四,17.0,21,13,小雨,东南风,3级
2017-05-19,星期五,19.0,24,14,多云,南风,4级
2017-05-20,星期六,20.0,26,14,多云,西南风,4级
2017-05-21,星期日,21.0,28,14,晴,东南风,4级
2017-05-22,星期一,21.0,28,14,晴,西南风,5级
2017-05-23,星期二,21.0,27,15,晴,东风,4级
2017-05-24,星期三,17.5,21,14,小雨,东北风,5级
2017-05-25,星期四,16.5,19,14,小雨,东北风,3级
2017-05-26,星期五,18.5,24,13,多云,东风,3级
2017-05-27,星期六,19.5,25,14,多云,南风,3级
2017-05-28,星期日,20.5,26,15,晴,南风,3级
2017-05-29,星期一,21.5,27,16,多云,西南风,4级
